[2025-07-16 10:22:12] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1449.5
[2025-07-16 11:43:35] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 1666.67
[2025-07-16 11:45:21] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1771.12
[2025-07-16 11:45:21] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 1666.67
[2025-07-16 11:48:21] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1771.12
[2025-07-16 11:48:21] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 1666.67
[2025-07-16 11:54:02] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1771.12
[2025-07-16 11:54:02] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 1666.67
[2025-07-16 11:55:26] ✅ New Arbitrage: Manchester United vs Chelsea | 1X2 | Profit: 2603.23
[2025-07-16 11:55:27] ✅ New Arbitrage: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 2923.08
[2025-07-16 12:14:37] ✅ New Arbitrage: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:14:38] ✅ New Arbitrage: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:17:39] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:17:39] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:20:18] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:20:18] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:21:30] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:21:30] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:24:30] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:24:30] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:27:30] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:27:30] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:30:31] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:30:31] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:33:31] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:33:31] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:36:31] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:36:31] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:39:31] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:39:31] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:42:31] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:42:31] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:45:31] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:45:31] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:48:31] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:48:31] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:51:31] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:51:31] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:54:31] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:54:31] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 12:57:32] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 12:57:32] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:00:32] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:00:32] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:03:32] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:03:32] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:06:32] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:06:32] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:09:32] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:09:32] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:12:32] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:12:32] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:15:32] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:15:32] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:18:32] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:18:32] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:21:32] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:21:32] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:24:32] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:24:32] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:27:33] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:27:33] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:30:33] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:30:33] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:33:33] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:33:33] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:36:33] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:36:33] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:39:33] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:39:33] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:42:33] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:42:33] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:45:33] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:45:33] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:48:33] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:48:33] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:51:33] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:51:33] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:54:34] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:54:34] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 13:57:34] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 13:57:34] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:00:34] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:00:34] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:03:34] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:03:34] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:06:34] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:06:34] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:09:34] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:09:34] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:12:34] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:12:34] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:15:34] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:15:34] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:18:34] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:18:34] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:21:35] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:21:35] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:24:35] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:24:35] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:27:35] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:27:35] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:30:35] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:30:35] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:33:35] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:33:35] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:36:35] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:36:35] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:39:35] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:39:35] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:42:35] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:42:36] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:45:36] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:45:36] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:48:36] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:48:36] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:51:36] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:51:36] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:54:36] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:54:36] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 14:57:36] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 14:57:36] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:00:36] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:00:36] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:03:36] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:03:36] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:06:37] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:06:37] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:09:37] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:09:37] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:12:37] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:12:37] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:15:37] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:15:37] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:18:37] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:18:37] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:21:37] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:21:37] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:24:37] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:24:37] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:27:38] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:27:38] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:30:38] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:30:38] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:33:38] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:33:38] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:36:38] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:36:38] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:39:38] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:39:38] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:42:38] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:42:38] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:45:38] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:45:38] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:48:39] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:48:39] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:51:39] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:51:39] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:54:39] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:54:39] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 15:57:39] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 15:57:39] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:00:39] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:00:39] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:03:39] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:03:39] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:06:39] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:06:39] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:09:40] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:09:40] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:32:01] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:32:01] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:35:01] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:35:01] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:38:01] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:38:01] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:41:01] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:41:01] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:44:01] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:44:01] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:47:01] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:47:01] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:50:01] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:50:01] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:53:02] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:53:02] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:56:02] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:56:02] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 16:59:02] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 16:59:02] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 17:02:02] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 17:02:02] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 17:05:02] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 17:05:02] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
[2025-07-16 17:08:02] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 5206.46
[2025-07-16 17:08:02] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 5846.15
